NAME,DECLARATION,DESCRIPTION
DrawText,"ENGINE_API float DrawText(const UFont* InFont, FAnsiStringView InText, float X, float Y, float XScale = 1.f, float YScale = 1.f, const FFontRenderInfo& RenderInfo = FFontRenderInfo());",Passing an ANSI string to DrawText has been deprecated outside of UTF-8 mode. Please use the overload that takes a TCHAR string.
DrawWindowToTarget_RenderThread,"virtual void DrawWindowToTarget_RenderThread(FRHICommandListImmediate& RHICmdList, const struct FRenderThreadUpdateContext& Context) {}",Use the RDG version instead.
DumpDraw,static void DumpDraw(const FRDGEventName& DrawEventName) {},This path is no longer supported.
DuplicateClothAsset,"virtual UObject* DuplicateClothAsset(UObject* ClothAsset, UObject* Outer, const FName& Name) const",The experimental Cloth importer is no longer supported.
ElementSize,"int32			ElementSize;",Use GetElementSize/SetElementSize instead.
EmptyClothes,virtual void EmptyClothes() override;,The experimental Cloth importer is no longer supported.
EmptyClothes,virtual void EmptyClothes() = 0;,The experimental Cloth importer is no longer supported.
EnablePersistentAuxiliary,static inline void EnablePersistentAuxiliary() {},Persistent Auxiliary allocator is obsolete and is replaced by a GetPersistentLinearAllocator()
End,"virtual void End(IMovieScenePlayer* Player, const UE::MovieScene::FEvaluationHookParams& Params) const {}",Please implement the version that takes a SharedPlaybackState
EndScene,void EndScene() {},FRHICommandListImmediate::EndScene() is deprecated and is no longer necessary. Remove any remaining calls to EndScene(). There is no replacement.
EndUpdate,RENDERER_API void EndUpdate();,Use AddDynamicGeometryUpdatePass instead.
EnumerateAllAssets,"ASSETREGISTRY_API bool EnumerateAllAssets(const TSet<FName>& PackageNamesToSkip,",Use EnumerateAllAssets with InEnumerateFlags instead.
EnumerateAllAssets,"virtual bool EnumerateAllAssets(TFunctionRef<bool(const FAssetData&)> Callback,",Use EnumerateAllAssets with InEnumerateFlags instead.
EnumerateAssets,"ASSETREGISTRY_API bool EnumerateAssets(const FARCompiledFilter& Filter, const TSet<FName>& PackageNamesToSkip,",Use EnumerateAssets with InEnumerateFlags instead.
EnumerateAssets,"virtual bool EnumerateAssets(const FARFilter& Filter, TFunctionRef<bool(const FAssetData&)> Callback,",Use EnumerateAssets with InEnumerateFlags instead.
EnumerateAssets,"virtual bool EnumerateAssets(const FARCompiledFilter& Filter, TFunctionRef<bool(const FAssetData&)> Callback,",Use EnumerateAssets with InEnumerateFlags instead.
EnumerateRHIPipelines,"inline void EnumerateRHIPipelines(ERHIPipeline PipelineMask, FunctionType Function)",EnumerateRHIPipelines is deprecated. Prefer ranged-for iteration over pipelines using 'for (ERHIPipeline Pipeline : MakeFlagsRange(Pipelines))'.
EObjectFlags,inline constexpr EObjectFlags RF_HasPlaceholderType = EObjectFlags(0x20000000);,RF_HasPlaceholderType is no longer in use.
EvaluatePostProcessMeshInstance,"ENGINE_API void EvaluatePostProcessMeshInstance(TArray<FTransform>& OutBoneSpaceTransforms, FCompactPose& InOutPose, FBlendedHeapCurve& OutCurve, const USkeletalMesh* InSkeletalMesh, FVector& OutRootBoneTranslation, UE::Anim::FHeapAttributeContainer& OutAttributes) const;",Please use EvaluatePostProcessMeshInstance with different signature
ExecCommand,void ExecCommand(const Audio::FQuartzQuantizedCommandDelegateData& Data) { OnCommandEvent(Data); },"This should not be called directly, use the ICommandListener interface instead."
ExecCommand,void ExecCommand(const Audio::FQuartzMetronomeDelegateData& Data) { OnMetronomeEvent(Data); },"This should not be called directly, use the IMetronomeEventListener interface instead."
ExecCommand,void ExecCommand(const Audio::FQuartzQueueCommandData& Data) { OnQueueCommandEvent(Data);},"This should not be called directly, use the IQueueCommandListener interface instead."
ExportAggregatedGeometry,static NAVIGATIONSYSTEM_API void ExportAggregatedGeometry(,Use FRecastGeometryExport::ExportAggregatedGeometry.
ExportCloth,"bool ExportCloth(class FDatasmithCloth& Cloth, TSharedPtr<class IDatasmithClothElement>& ClothElement, const TCHAR* FilePath, const TCHAR* AssetsOutputPath) const;",The experimental Cloth importer is no longer supported.
ExportFBX,"static bool ExportFBX(UWorld* World, UMovieScene* MovieScene, IMovieScenePlayer* Player, const TArray<FGuid>& Bindings, const TArray<UMovieSceneTrack*>& Tracks, INodeNameAdapter& NodeNameAdapter, FMovieSceneSequenceIDRef& Template,  const FString& InFBXFileName, FMovieSceneSequenceTransform& RootToLocalTransform);",ExportFBX taking movie scene has been deprecated in favor of a new function that takes current and root movie scene sequences
ExportLevelSequence,"UNREALED_API bool ExportLevelSequence(UMovieScene* MovieScene, const TArray<FGuid>& InBindings, IMovieScenePlayer* MovieScenePlayer, INodeNameAdapter& NodeNameAdapter, FMovieSceneSequenceIDRef SequenceID, const FMovieSceneSequenceTransform& RootToLocalTransform);","ExportLevelSequence taking a movie scene is deprecated, use version that takes movie scene sequences"
ExportLevelSequenceTracks,"UNREALED_API bool ExportLevelSequenceTracks(UMovieScene* MovieScene, IMovieScenePlayer* MovieScenePlayer, FMovieSceneSequenceIDRef InSequenceID, FbxNode* FbxActor, UObject* BoundObject, const TArray<UMovieSceneTrack*>& Tracks, const FMovieSceneSequenceTransform& RootToLocalTransform);","ExportLevelSequenceTracks taking a movie scene is deprecated, use version that takes movie scene sequences"
ExportNavRelevantObjectGeometry,"static NAVIGATIONSYSTEM_API void ExportNavRelevantObjectGeometry(INavRelevantInterface& InOutNavRelevantInterface, FNavigationRelevantData& OutData);",Use FRecastGeometryExport::ExportElementGeometry.
ExportRigidBodyGeometry,"static NAVIGATIONSYSTEM_API void ExportRigidBodyGeometry(UBodySetup& InOutBodySetup,",Use FRecastGeometryExport::ExportRigidBodyGeometry.
ExportRigidBodyGeometry,static NAVIGATIONSYSTEM_API void ExportRigidBodyGeometry(,Use FRecastGeometryExport::ExportRigidBodyGeometry.
ExportToAnimSequence,"static bool ExportToAnimSequence(UAnimSequence* AnimSequence, UAnimSeqExportOption* ExportOptions, UMovieScene* MovieScene, IMovieScenePlayer* Player,",ExportToAnimSequence taking movie scene has been deprecated in favor of a new function that takes current and root movie scene sequences
ExportVertexSoupGeometry,"static NAVIGATIONSYSTEM_API void ExportVertexSoupGeometry(const TArray<FVector>& InVerts, FNavigationRelevantData& OutData);",Use FRecastGeometryExport::ExportVertexSoupGeometry.
FastMarkAsReachableAndClearReachaleInClusterInterlocked_ForGC,COREUOBJECT_API void FastMarkAsReachableAndClearReachaleInClusterInterlocked_ForGC();,FastMarkAsReachableAndClearReachaleInClusterInterlocked_ForGC() can only be used by the garbage collector.
FastMarkAsReachableInterlocked_ForGC,COREUOBJECT_API void FastMarkAsReachableInterlocked_ForGC();,FastMarkAsReachableInterlocked_ForGC() can only be used by the garbage collector.
FAvailableCollectionsMap,"typedef TMap<FCollectionNameType, TSharedRef<FCollection>> FAvailableCollectionsMap;",These typedefs have been deprecated. Replace them with their concrete types.
FClearValueBinding,FClearValueBinding ClearValueBinding = FClearValueBinding(FLinearColor::Transparent);,Please use FRHITextureCreateDesc for creating Textures with a Clear Value Binding
FCollectionColorArray,typedef TArray<FLinearColor> FCollectionColorArray;,These typedefs have been deprecated. Replace them with their concrete types.
FCollectionHierarchyMap,"typedef TMap<FGuid, TArray<FGuid>> FCollectionHierarchyMap;",These typedefs have been deprecated. Replace them with their concrete types.
FCollectionObjectsMap,"typedef TMap<FSoftObjectPath, TArray<FObjectCollectionInfo>> FCollectionObjectsMap;",These typedefs have been deprecated. Replace them with their concrete types.
FConstantValue,FConstantValue(double InValue),Please provide an origin. This is required for Integral() to work correctly.
FDataflowConnection,"DATAFLOWCORE_API FDataflowConnection(UE::Dataflow::FPin::EDirection Direction, FName InType, FName InName, FDataflowNode* OwningNode = nullptr, const FProperty* InProperty = nullptr, FGuid InGuid = FGuid::NewGuid());",Deprecated constructor : use FConnectionParameters to pass parameters
FDataflowInput,"DATAFLOWCORE_API FDataflowInput(const UE::Dataflow::FInputParameters& Param, FGuid InGuid);",Deprecated constructor : Guid is now passed through FInputParameters
FDataflowOutput,"DATAFLOWCORE_API FDataflowOutput(const UE::Dataflow::FOutputParameters& Param, FGuid InGuid);",Deprecated constructor : Guid is now passed through FOutputParameters
FDirectedEdge,"typedef TTuple<int32, int32> FDirectedEdge;",This has moved to the UE::MathCore::Graph namespace
FDirectedTreeElement,typedef UE::MathCore::Graph::FDirectedTreeElement FDirectedTreeElement;,This has moved to the UE::MathCore::Graph namespace
FDynamicRayTracingMeshCommandContex,FDynamicRayTracingMeshCommandContext,"Use FRayTracingShaderBindingData instead of FVisibleRayTracingMeshCommand"");
using FVisibleRayTracingMeshCommand = FRayTracingShaderBindingData;

UE_DEPRECATED(5.5, ""Use FRayTracingShaderBindingDataOneFrameArray instead of FRayTracingMeshCommandOneFrameArray"");
using FRayTracingMeshCommandOneFrameArray = FRayTracingShaderBindingDataOneFrameArray;

class FRayTracingMeshCommandContext
{
public:

	virtual ~FRayTracingMeshCommandContext() {}

	virtual FRayTracingMeshCommand& AddCommand(const FRayTracingMeshCommand& Initializer) = 0;

	virtual void FinalizeCommand(FRayTracingMeshCommand& RayTracingMeshCommand) = 0;
};

using FTempRayTracingMeshCommandStorage = TArray<FRayTracingMeshCommand>;

using FCachedRayTracingMeshCommandStorage = TSparseArray<FRayTracingMeshCommand>;

using FDynamicRayTracingMeshCommandStorage = TChunkedArray<FRayTracingMeshCommand>;

template<class T>
class FCachedRayTracingMeshCommandContext : public FRayTracingMeshCommandContext
{
public:
	FCachedRayTracingMeshCommandContext(T& InDrawListStorage) : DrawListStorage(InDrawListStorage) {}

	virtual FRayTracingMeshCommand& AddCommand(const FRayTracingMeshCommand& Initializer) override final
	{
		CommandIndex = DrawListStorage.Add(Initializer);
		return DrawListStorage[CommandIndex];
	}

	virtual void FinalizeCommand(FRayTracingMeshCommand& RayTracingMeshCommand) override final {}

	int32 CommandIndex = -1;

private:
	T& DrawListStorage;
};

class FDynamicRayTracingMeshCommandContext : public FRayTracingMeshCommandContext
{
public:
	FDynamicRayTracingMeshCommandContext
	(
		FDynamicRayTracingMeshCommandStorage& InDynamicCommandStorage,
		FRayTracingShaderBindingDataOneFrameArray& InDirtyShaderBindings,
		const FRHIRayTracingGeometry* InRayTracingGeometry,
		uint32 InGeometrySegmentIndex,
		FRayTracingSBTAllocation* InSBTAllocation
	) :
		DynamicCommandStorage(InDynamicCommandStorage),
		DirtyShaderBindings(InDirtyShaderBindings),
		RayTracingGeometry(InRayTracingGeometry),
		GeometrySegmentIndex(InGeometrySegmentIndex),
		SBTAllocation(InSBTAllocation),
		RayTracingInstanceIndex(INDEX_NONE),
		RayTracingDecalInstanceIndex(INDEX_NONE)
	{}

	UE_DEPRECATED(5.5, ""Provide RayTracingGeometry and GlobalGeometrySegmentIndex and DecalGlobalGeometrySegmentIndex instead"
FEntityCreationContext,explicit FEntityCreationContext(const int32 InNumSpawned) : FEntityCreationContext() {},This constructor is now deprecated and defunct. Use one of the others instead.
FFavoritedBlueprintPaletteItem,FFavoritedBlueprintPaletteItem(TSharedPtr<FEdGraphSchemaAction> PaletteAction);,"Provide a dereferenced FEdGraphSchemaAction, after validating it in the caller"
FFrontendFilte,CONTENTBROWSER_API FFrontendFilter_ShowOtherDevelopers : public FFrontendFilter,"FFrontendFilter_Text has been deprecated in favor of FAssetTextFilter, used by SAssetView to perform text filtering in parallel."");
class CONTENTBROWSER_API FFrontendFilter_Text : public FFrontendFilter
{
public:
	FFrontendFilter_Text();
	~FFrontendFilter_Text();

	// FFrontendFilter implementation
	virtual FString GetName() const override { return TEXT(""TextFilter""); }
	virtual FText GetDisplayName() const override { return LOCTEXT(""FrontendFilter_Text"", ""Text""); }
	virtual FText GetToolTipText() const override { return LOCTEXT(""FrontendFilter_TextTooltip"", ""Show only assets that match the input text""); }

	// IFilter implementation
	virtual bool PassesFilter(FAssetFilterType InItem) const override;

public:
	/** Returns the unsanitized and unsplit filter terms */
	FText GetRawFilterText() const;

	/** Set the Text to be used as the Filter's restrictions */
	void SetRawFilterText(const FText& InFilterText);

	/** Get the last error returned from lexing or compiling the current filter text */
	FText GetFilterErrorText() const;

	/** If bIncludeClassName is true, the text filter will include an asset's class name in the search */
	void SetIncludeClassName(const bool InIncludeClassName);

	/** If bIncludeAssetPath is true, the text filter will match against full Asset path */
	void SetIncludeAssetPath(const bool InIncludeAssetPath);

	bool GetIncludeAssetPath() const;

	/** If bIncludeCollectionNames is true, the text filter will match against collection names as well */
	void SetIncludeCollectionNames(const bool InIncludeCollectionNames);

	bool GetIncludeCollectionNames() const;
private:
	/** Handles an on collection created event */
	void HandleCollectionCreated(const FCollectionNameType& Collection);

	/** Handles an on collection destroyed event */
	void HandleCollectionDestroyed(const FCollectionNameType& Collection);

	/** Handles an on collection renamed event */
	void HandleCollectionRenamed(const FCollectionNameType& OriginalCollection, const FCollectionNameType& NewCollection);

	/** Handles an on collection updated event */
	void HandleCollectionUpdated(const FCollectionNameType& Collection);

	/** Rebuild the array of dynamic collections that are being referenced by the current query */
	void RebuildReferencedDynamicCollections();

	/** An array of dynamic collections that are being referenced by the current query. These should be tested against each asset when it's looking for collections that contain it */
	TArray<FCollectionNameType> ReferencedDynamicCollections;

	/** Transient context data, used when calling PassesFilter. Kept around to minimize re-allocations between multiple calls to PassesFilter */
	TSharedRef<class FFrontendFilter_TextFilterExpressionContext> TextFilterExpressionContext;

	/** Expression evaluator that can be used to perform complex text filter queries */
	FTextFilterExpressionEvaluator TextFilterExpressionEvaluator;

	/** Delegate handles */
	FDelegateHandle OnCollectionCreatedHandle;
	FDelegateHandle OnCollectionDestroyedHandle;
	FDelegateHandle OnCollectionRenamedHandle;
	FDelegateHandle OnCollectionUpdatedHandle;
};

/** A filter that displays only checked out assets */
class CONTENTBROWSER_API FFrontendFilter_CheckedOut : public FFrontendFilter, public TSharedFromThis<FFrontendFilter_CheckedOut>
{
public:
	FFrontendFilter_CheckedOut(TSharedPtr<FFrontendFilterCategory> InCategory);

	// FFrontendFilter implementation
	virtual FString GetName() const override { return TEXT(""CheckedOut""); }
	virtual FText GetDisplayName() const override { return LOCTEXT(""FrontendFilter_CheckedOut"", ""Checked Out""); }
	virtual FText GetToolTipText() const override { return LOCTEXT(""FrontendFilter_CheckedOutTooltip"", ""Show only assets that you have checked out or pending for add.""); }
	virtual void ActiveStateChanged(bool bActive) override;
	virtual void SetCurrentFilter(TArrayView<const FName> InSourcePaths, const FContentBrowserDataFilter& InBaseFilter) override;

	// IFilter implementation
	virtual bool PassesFilter(FAssetFilterType InItem) const override;

private:
	
	/** Request the source control status for this filter */
	void RequestStatus();

	/** Callback when source control operation has completed */
	void SourceControlOperationComplete(const FSourceControlOperationRef& InOperation, ECommandResult::Type InResult);

	bool bSourceControlEnabled;
};

/** A filter that displays assets not tracked by source control */
class CONTENTBROWSER_API FFrontendFilter_NotSourceControlled : public FFrontendFilter, public TSharedFromThis<FFrontendFilter_NotSourceControlled>
{
public:
	FFrontendFilter_NotSourceControlled(TSharedPtr<FFrontendFilterCategory> InCategory);

	// FFrontendFilter implementation
	virtual FString GetName() const override { return TEXT(""NotSourceControlled""); }
	virtual FText GetDisplayName() const override { return LOCTEXT(""FrontendFilter_NotSourceControlled"", ""Not Revision Controlled""); }
	virtual FText GetToolTipText() const override { return LOCTEXT(""FrontendFilter_NotSourceControlledTooltip"", ""Show only assets that are not tracked by revision control.""); }
	virtual void ActiveStateChanged(bool bActive) override;
	virtual void SetCurrentFilter(TArrayView<const FName> InSourcePaths, const FContentBrowserDataFilter& InBaseFilter) override;

	// IFilter implementation
	virtual bool PassesFilter(FAssetFilterType InItem) const override;

private:

	/** Request the source control status for this filter */
	void RequestStatus();

	/** Callback when source control operation has completed */
	void SourceControlOperationComplete(const FSourceControlOperationRef& InOperation, ECommandResult::Type InResult);

	bool bSourceControlEnabled;
	bool bIsRequestStatusRunning;
	bool bInitialRequestCompleted;
};

/** A filter that displays only modified assets */
class CONTENTBROWSER_API FFrontendFilter_Modified : public FFrontendFilter
{
public:
	FFrontendFilter_Modified(TSharedPtr<FFrontendFilterCategory> InCategory);
	~FFrontendFilter_Modified();

	// FFrontendFilter implementation
	virtual FString GetName() const override { return TEXT(""Modified""); }
	virtual FText GetDisplayName() const override { return LOCTEXT(""FrontendFilter_Modified"", ""Modified""); }
	virtual FText GetToolTipText() const override { return LOCTEXT(""FrontendFilter_ModifiedTooltip"", ""Show only assets that have been modified and not yet saved.""); }
	virtual void ActiveStateChanged(bool bActive) override;

	// IFilter implementation
	virtual bool PassesFilter(FAssetFilterType InItem) const override;

private:

	/** Handler for when a package's dirty state has changed */
	void OnPackageDirtyStateUpdated(UPackage* Package);

	bool bIsCurrentlyActive;
};

/** A filter that displays blueprints that have replicated properties */
class CONTENTBROWSER_API FFrontendFilter_ReplicatedBlueprint : public FFrontendFilter
{
public:
	FFrontendFilter_ReplicatedBlueprint(TSharedPtr<FFrontendFilterCategory> InCategory) : FFrontendFilter(InCategory) {}

	// FFrontendFilter implementation
	virtual FString GetName() const override { return TEXT(""ReplicatedBlueprint""); }
	virtual FText GetDisplayName() const override { return LOCTEXT(""FFrontendFilter_ReplicatedBlueprint"", ""Replicated Blueprints""); }
	virtual FText GetToolTipText() const override { return LOCTEXT(""FFrontendFilter_ReplicatedBlueprintToolTip"", ""Show only blueprints with replicated properties.""); }

	// IFilter implementation
	virtual bool PassesFilter(FAssetFilterType InItem) const override;
};

/** A filter that compares the value of an asset registry tag to a target value */
class CONTENTBROWSER_API FFrontendFilter_ArbitraryComparisonOperation : public FFrontendFilter
{
public:
	FFrontendFilter_ArbitraryComparisonOperation(TSharedPtr<FFrontendFilterCategory> InCategory);

	// FFrontendFilter implementation
	virtual FString GetName() const override;
	virtual FText GetDisplayName() const override;
	virtual FText GetToolTipText() const override;
	virtual void ModifyContextMenu(FMenuBuilder& MenuBuilder) override;
	virtual void SaveSettings(const FString& IniFilename, const FString& IniSection, const FString& SettingsString) const override;
	virtual void LoadSettings(const FString& IniFilename, const FString& IniSection, const FString& SettingsString) override;

	// IFilter implementation
	virtual bool PassesFilter(FAssetFilterType InItem) const override;

protected:
	static FString ConvertOperationToString(ETextFilterComparisonOperation Op);
	
	void SetComparisonOperation(ETextFilterComparisonOperation NewOp);
	bool IsComparisonOperationEqualTo(ETextFilterComparisonOperation TestOp) const;

	FText GetKeyValueAsText() const;
	FText GetTargetValueAsText() const;
	void OnKeyValueTextCommitted(const FText& InText, ETextCommit::Type InCommitType);
	void OnTargetValueTextCommitted(const FText& InText, ETextCommit::Type InCommitType);

public:
	FName TagName;
	FString TargetTagValue;
	ETextFilterComparisonOperation ComparisonOp;
};

/** An inverse filter that allows display of content in developer folders that are not the current user's */
class UE_DEPRECATED(5.5, ""This frontend filter has been deprecated and replaced with backend filtering. see FFilter_HideOtherDevelopers."
FGuidToCollectionNamesMap,"typedef TMap<FGuid, FCollectionNameType> FGuidToCollectionNamesMap;",These typedefs have been deprecated. Replace them with their concrete types.
FileSize,"int64 FileSize(const FPackagePath& PackagePath, EPackageSegment PackageSegment,",Use the overload that takes a FBulkDataCookedIndex
FillRayTracingInstanceUploadBuffer,RENDERER_API void FillRayTracingInstanceUploadBuffer(,Must specify BaseInstancePrefixSum.
FillShowMenu,"static inline void FillShowMenu(class FMenuBuilder& MenuBuilder, TArray<FShowMenuCommand> MenuCommands, int32 EntryOffset)",Use the version of the show flags builder in FShowFlagMenuCommands::BuildShowFlagsMenu which takes a UToolMenu instead
FindBindingFromObject,"LEVELSEQUENCE_API virtual FGuid FindBindingFromObject(UObject* InObject, UObject* Context) const override;",Use the version that takes a SharedPlaybackState
FindBindingFromObject,"MOVIESCENE_API FGuid FindBindingFromObject(UObject* InObject, UObject* InContext) const;",This method has been deprecated as it produces errors for subobjects. Please call UMovieSceneSequence::FindBindingFromObject passing in a SharedPlaybackState
FindBindingFromObject,"MOVIESCENE_API virtual FGuid FindBindingFromObject(UObject* InObject, UObject* Context) const;",Use the version that takes a SharedPlaybackState
FindComponentByInterface,T* FindComponentByInterface() const,This version incorrectly casts to the UInterface type used for reflection. Use FindComponentByInterface<IMyInterface>() instead
FindInputPreProcessor,SLATE_API int32 FindInputPreProcessor(TSharedPtr<class IInputProcessor> InputProcessor) const;,"This method is deprecated and will use EInputPreProcessorType::Game as a default. For a more accurate search result, please use the new version taking a EInputPreProcessorType"
FindOrCreateShaderBindingTable,virtual FRHIShaderBindingTable* FindOrCreateShaderBindingTable(const FRHIRayTracingPipelineState* Pipeline) = 0;,Create standalone FRHIShaderBindingTable instead.
FindRuntimeObject,"UMG_API UObject* FindRuntimeObject(const UWidgetTree& WidgetTree, UUserWidget& UserWidget) const;",Please use the version that takes a SharedPlaybackState and Sequence
FindText,"static FORCEINLINE bool FindText(const FTextKey& Namespace, const FTextKey& Key, FText& OutText, const FString* const SourceString = nullptr)","FText::FindText is deprecated as it can no longer find untranslated text. Consider FText::FindTextInLiveTable_Advanced or FText::AsLocalizable_Advanced as a replacement, depending on your use-case."
FIoChunkHas,FIoChunkHash,FIoChunkHash is deprecated. Use FIoHash instead.
FLevelSequenceAnimTrackAdapter,"UNREALED_API FLevelSequenceAnimTrackAdapter(IMovieScenePlayer* InMovieScenePlayer, UMovieScene* InMovieScene, const FMovieSceneSequenceTransform& InRootToLocalTransform, UMovieSceneSkeletalAnimationTrack* InAnimTrack = nullptr);","FLevelSequenceAnimTrackAdapter constructor taking a movie scene is deprecated, use version that takes movie scene sequences"
FlushAsyncLoading,COREUOBJECT_API void FlushAsyncLoading() {},No longer provides any functionality
FlushPendingDeletes,inline int32 FlushPendingDeletes() { return 0; },FlushPendingDeletes is deprecated and removed. Use RHICmdList.ImmediateFlush(EImmediateFlushType::FlushRHIThreadFlushResources)
FlushStreamingToExternalStreamingObject,URuntimeHashExternalStreamingObjectBase* FlushStreamingToExternalStreamingObject(const FString& ExternalStreamingObjectName) { return FlushStreamingToExternalStreamingObject(); },"FlushStreamingToExternalStreamingObject(const FString& ) is deprecated, use FlushStreamingToExternalStreamingObject() instead"
FMassArchetypeCompositionDescriptor,"FMassArchetypeCompositionDescriptor(const FMassFragmentBitSet& InFragments, const FMassTagBitSet& InTags, const FMassChunkFragmentBitSet& InChunkFragments, const FMassSharedFragmentBitSet& InSharedFragments)",This FMassArchetypeCompositionDescriptor constructor is deprecated. Please explicitly provide FConstSharedFragmentBitSet.
FMassArchetypeCompositionDescriptor,"FMassArchetypeCompositionDescriptor(TConstArrayView<const UScriptStruct*> InFragments, const FMassTagBitSet& InTags, const FMassChunkFragmentBitSet& InChunkFragments, const FMassSharedFragmentBitSet& InSharedFragments)",This FMassArchetypeCompositionDescriptor constructor is deprecated. Please explicitly provide FConstSharedFragmentBitSet.
FMassArchetypeCompositionDescriptor,"FMassArchetypeCompositionDescriptor(TConstArrayView<FInstancedStruct> InFragmentInstances, const FMassTagBitSet& InTags, const FMassChunkFragmentBitSet& InChunkFragments, const FMassSharedFragmentBitSet& InSharedFragments)",This FMassArchetypeCompositionDescriptor constructor is deprecated. Please explicitly provide FConstSharedFragmentBitSet.
FMassArchetypeCompositionDescriptor,"FMassArchetypeCompositionDescriptor(FMassFragmentBitSet&& InFragments, FMassTagBitSet&& InTags, FMassChunkFragmentBitSet&& InChunkFragments, FMassSharedFragmentBitSet&& InSharedFragments)",This FMassArchetypeCompositionDescriptor constructor is deprecated. Please explicitly provide FConstSharedFragmentBitSet.
FMovieSceneChannelData,"MOVIESCENE_API FMovieSceneChannelData(TArray<FFrameNumber>* InTimes, FKeyHandleLookupTable* InKeyHandles, FMovieSceneChannel* InChannel = nullptr);",Constructor that takes an optional FMovieSceneChannel is now deprecated. FMovieSceneChannel is now required.
FMovieSceneNestedSequenceTransform,FMovieSceneNestedSequenceTransform(const FMovieSceneTimeWarping& InWarping),Please update your code to use a FMovieSceneTimeWarpVariant
FMovieSceneNestedSequenceTransform,"FMovieSceneNestedSequenceTransform(FMovieSceneTimeTransform InLinearTransform, const FMovieSceneTimeWarping& InWarping)",Please update your code to use a FMovieSceneTimeWarpVariant
FNavigationDirtyArea,"ENGINE_API FNavigationDirtyArea(const FBox& InBounds, int32 InFlags, UObject* const InOptionalSourceObject = nullptr);",Use the constructor taking ENavigationDirtyFlag and FNavigationElement instead.
FNavigationDirtyElement,ENGINE_API FNavigationDirtyElement();,The default constructor will be remove. Use the version with FNavigationElement instead.
FNavigationDirtyElement,ENGINE_API explicit FNavigationDirtyElement(UObject* InOwner);,Use the version with FNavigationElement instead.
FNavigationDirtyElement,"ENGINE_API FNavigationDirtyElement(UObject* InOwner, INavRelevantInterface* InNavInterface, int32 InFlagsOverride = 0, const bool bUseWorldPartitionedDynamicMode = false);",Use the version with FNavigationElement instead.
FNavigationElement,"ENGINE_API explicit FNavigationElement(const UObject* Object, const uint64 SubElementId = INDEX_NONE)",Temporary constructor to allow deprecation of other navigation types. Use the version taking an object reference instead.
FNavigationOctreeElement,explicit FNavigationOctreeElement(UObject& SourceObject),Use the constructor taking a FNavigationElement instead.
FNavigationRelevantData,ENGINE_API FNavigationRelevantData(UObject& Source);,Use the constructor using FNavigationElement instead.
ForEachLayer,LANDSCAPE_API void ForEachLayer(TFunctionRef<void(FLandscapeLayer&)> Fn);,Use ForEachLayerConst
FormatTime,"inline FString FormatTime(const double Time, const double Precision = 0.0) { return UE::Insights::FormatTime(Time, Precision); }",TimeUtils namespace was merged into UE::Insights namespace
FormatTimeAuto,"inline FString FormatTimeAuto(const double Duration, const int32 NumDigits = 1) { return UE::Insights::FormatTimeAuto(Duration, NumDigits); }",TimeUtils namespace was merged into UE::Insights namespace
FormatTimeHMS,"inline FString FormatTimeHMS(const double Time, const double Precision = 0.0) { return UE::Insights::FormatTimeHMS(Time, Precision); }",TimeUtils namespace was merged into UE::Insights namespace
FormatTimeMs,"inline FString FormatTimeMs(const double Duration, const int32 NumDigits = 2, bool bAddTimeUnit = false) { return UE::Insights::FormatTimeMs(Duration, NumDigits, bAddTimeUnit); }",TimeUtils namespace was merged into UE::Insights namespace
FormatTimeSplit,"inline FString FormatTimeSplit(const UE::Insights::FTimeSplit& TimeSplit, const double Precision = 0.0) { return UE::Insights::FormatTimeSplit(TimeSplit, Precision); }",TimeUtils namespace was merged into UE::Insights namespace
FormatTimeSplit,"inline FString FormatTimeSplit(const double Time, const double Precision = 0.0) { return UE::Insights::FormatTimeSplit(Time, Precision); }",TimeUtils namespace was merged into UE::Insights namespace
FormatTimeValue,"inline FString FormatTimeValue(const double Duration, const int32 NumDigits = 1) { return UE::Insights::FormatTimeValue(Duration, NumDigits); }",TimeUtils namespace was merged into UE::Insights namespace
ForUseOnlyByLocMacroAndGraphNodeTextLiterals_CreateText,"static FORCEINLINE FText ForUseOnlyByLocMacroAndGraphNodeTextLiterals_CreateText(const TCHAR* InTextLiteral, const TCHAR* InNamespace, const TCHAR* InKey)",FInternationalization::ForUseOnlyByLocMacroAndGraphNodeTextLiterals_CreateText is deprecated in favor of FText::AsLocalizable_Advanced (NOTE: FText::AsLocalizable_Advanced takes its arguments in a different order!).
FPBDBendingConstraints,"FPBDBendingConstraints(const FSolverParticles& InParticles,",Use constructor with BucklingRatioMultipliers
FPBDBendingConstraintsBase,"FPBDBendingConstraintsBase(const FSolverParticlesRange& InParticles,",Use a constructor with BucklingRatioMultipliers.
FPBDBendingConstraintsBase,"FPBDBendingConstraintsBase(const FSolverParticles& InParticles,",Use a constructor with BucklingRatioMultipliers.
FPBDBendingConstraintsBase,"FPBDBendingConstraintsBase(const FSolverParticles& InParticles,",Use a constructor with BucklingRatioMultipliers.
FRayTracingShaderBindingData,"FRayTracingShaderBindingData(const FRayTracingMeshCommand* InRayTracingMeshCommand, uint32 InInstanceIndex, bool bInHidden = false)",Provide RayTracingGeometry and SBTSegmentIndex instead of InstanceIndex
FreeBufferResource,ENGINE_API void FreeBufferResource(FSoundBuffer* SoundBuffer);,This is no longer used.  Existing calls may be deleted
